epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2049,2.83771,24.1538,1.26787,0.478,0.41698,0.37129,0.11261,2.73849,1.95748,1.29973,0.000662768,0.000662768,0.000662768
2,67.531,2.1628,1.36949,1.02347,0.65781,0.62129,0.63738,0.22148,2.27697,1.26664,1.11975,0.00132169,0.00132169,0.00132169
3,100.799,2.05139,1.24405,1.00726,0.70716,0.57234,0.62993,0.23249,2.24683,1.26717,1.11401,0.00197285,0.00197285,0.00197285
4,134.143,1.98773,1.16823,0.98007,0.77353,0.62104,0.70524,0.29245,2.00409,1.11499,1.07343,0.00196506,0.00196506,0.00196506
5,167.348,1.90637,1.07379,0.97614,0.74777,0.67636,0.71219,0.28615,2.04058,1.09351,1.08752,0.00195341,0.00195341,0.00195341
6,200.483,1.91588,1.06947,0.96372,0.79735,0.6616,0.73276,0.29596,2.02864,1.09702,1.07709,0.00194176,0.00194176,0.00194176
7,233.752,1.8464,1.01086,0.95399,0.71046,0.7237,0.72635,0.28461,1.97086,1.16128,1.07928,0.00193012,0.00193012,0.00193012
8,266.901,1.77952,1.00596,0.93405,0.74721,0.67807,0.74233,0.2789,2.06256,1.09646,1.08417,0.00191847,0.00191847,0.00191847
9,300.055,1.76012,0.97443,0.93081,0.8034,0.71994,0.79826,0.31482,1.99461,1.05079,1.05787,0.00190682,0.00190682,0.00190682
10,333.263,1.72906,0.93136,0.92245,0.80021,0.67518,0.74616,0.29665,1.98848,1.05298,1.0806,0.00189518,0.00189518,0.00189518
11,366.374,1.68663,0.89703,0.92312,0.81776,0.61724,0.73918,0.29857,2.01317,1.12913,1.09223,0.00188353,0.00188353,0.00188353
12,399.507,1.69619,0.90573,0.92354,0.80905,0.65779,0.74688,0.29746,1.98991,1.07492,1.0798,0.00187188,0.00187188,0.00187188
13,432.634,1.68046,0.90001,0.92081,0.81008,0.71356,0.76305,0.30825,1.93211,1.03194,1.0631,0.00186024,0.00186024,0.00186024
14,465.741,1.62351,0.87001,0.90374,0.8129,0.71585,0.76934,0.3136,1.92185,0.99575,1.06153,0.00184859,0.00184859,0.00184859
15,498.812,1.55681,0.83451,0.89486,0.81753,0.68188,0.7486,0.31144,1.9113,1.07774,1.05508,0.00183694,0.00183694,0.00183694
16,531.914,1.57095,0.82976,0.90229,0.83931,0.67554,0.77463,0.32495,1.94255,1.01585,1.06781,0.00182529,0.00182529,0.00182529
17,565.075,1.49823,0.79637,0.88835,0.8142,0.66092,0.75384,0.29592,2.02604,1.01079,1.08648,0.00181365,0.00181365,0.00181365
18,598.159,1.50862,0.80455,0.89357,0.80811,0.7686,0.80174,0.31623,1.94461,0.96545,1.06193,0.001802,0.001802,0.001802
19,631.386,1.45765,0.79464,0.88412,0.83041,0.71356,0.79382,0.33833,1.92332,0.98046,1.05223,0.00179035,0.00179035,0.00179035
20,664.57,1.43375,0.76764,0.87929,0.8424,0.71811,0.79682,0.32604,1.94386,0.95236,1.07982,0.00177871,0.00177871,0.00177871
21,697.659,1.42551,0.75714,0.87987,0.79505,0.73384,0.79773,0.33541,1.90939,0.98838,1.05159,0.00176706,0.00176706,0.00176706
22,730.773,1.39442,0.74312,0.87321,0.84143,0.73764,0.80783,0.33915,1.91098,0.97401,1.06968,0.00175541,0.00175541,0.00175541
23,763.931,1.41863,0.75008,0.87757,0.81587,0.71356,0.7822,0.32053,1.94255,0.98856,1.05286,0.00174376,0.00174376,0.00174376
24,797.025,1.34448,0.71898,0.86785,0.83078,0.72624,0.79556,0.31572,1.93535,0.94947,1.05962,0.00173212,0.00173212,0.00173212
25,830.198,1.33287,0.71012,0.86941,0.85472,0.72117,0.80671,0.33406,1.93119,0.95169,1.06775,0.00172047,0.00172047,0.00172047
26,863.296,1.32427,0.70258,0.86811,0.8085,0.74914,0.79931,0.33932,1.88212,0.98895,1.058,0.00170882,0.00170882,0.00170882
27,896.393,1.31288,0.71655,0.86549,0.82518,0.74778,0.79908,0.34741,1.88365,0.95784,1.05368,0.00169718,0.00169718,0.00169718
28,930.154,1.29878,0.69447,0.86282,0.84724,0.73638,0.80471,0.33224,1.9077,0.97153,1.04475,0.00168553,0.00168553,0.00168553
29,964.775,1.3067,0.68833,0.85317,0.84292,0.73455,0.8053,0.35633,1.86856,0.924,1.05768,0.00167388,0.00167388,0.00167388
30,1003.4,1.25853,0.65267,0.85536,0.82821,0.76989,0.8163,0.35747,1.85697,0.89279,1.05256,0.00166224,0.00166224,0.00166224
31,1037.02,1.31291,0.69721,0.86327,0.8166,0.74493,0.81289,0.34507,1.90102,0.96175,1.0545,0.00165059,0.00165059,0.00165059
32,1069.91,1.21738,0.64011,0.85081,0.80681,0.78337,0.82005,0.3546,1.82442,0.90713,1.04888,0.00163894,0.00163894,0.00163894
33,1102.79,1.22179,0.65124,0.85321,0.84764,0.73891,0.81933,0.35467,1.84276,0.91967,1.05073,0.00162729,0.00162729,0.00162729
34,1135.86,1.20666,0.64054,0.84781,0.79526,0.76679,0.80485,0.3495,1.8559,0.87981,1.04964,0.00161565,0.00161565,0.00161565
35,1169.56,1.22781,0.63925,0.84863,0.86472,0.7161,0.81536,0.35889,1.84198,0.95181,1.04951,0.001604,0.001604,0.001604
36,1205.86,1.17836,0.62259,0.8462,0.84059,0.75521,0.82952,0.37131,1.82965,0.90017,1.0448,0.00159235,0.00159235,0.00159235
37,1244.66,1.18981,0.63368,0.84652,0.84399,0.74735,0.82358,0.34976,1.85115,0.93575,1.04319,0.00158071,0.00158071,0.00158071
38,1278.14,1.16165,0.62006,0.84518,0.84922,0.72243,0.8177,0.35533,1.81642,0.90715,1.03466,0.00156906,0.00156906,0.00156906
39,1311.04,1.13832,0.61035,0.84433,0.8603,0.73131,0.8134,0.35363,1.85151,0.89498,1.04367,0.00155741,0.00155741,0.00155741
40,1343.98,1.14622,0.60381,0.84012,0.86559,0.74398,0.81899,0.35397,1.84372,0.89596,1.04457,0.00154576,0.00154576,0.00154576
41,1376.91,1.12672,0.60584,0.84072,0.86346,0.7454,0.81678,0.35708,1.81187,0.9005,1.03795,0.00153412,0.00153412,0.00153412
42,1409.82,1.13874,0.61295,0.84147,0.8657,0.7199,0.8102,0.34201,1.88593,0.92179,1.05383,0.00152247,0.00152247,0.00152247
43,1442.76,1.11008,0.59262,0.83388,0.83108,0.76426,0.82075,0.34666,1.83261,0.91153,1.03493,0.00151082,0.00151082,0.00151082
44,1475.7,1.11676,0.58815,0.83964,0.86455,0.73511,0.81455,0.35486,1.84951,0.93401,1.04416,0.00149918,0.00149918,0.00149918
45,1508.66,1.11394,0.59651,0.83651,0.8674,0.7237,0.80893,0.35059,1.84525,0.89723,1.03359,0.00148753,0.00148753,0.00148753
46,1541.65,1.13956,0.60408,0.84259,0.84197,0.74956,0.82541,0.36136,1.85341,0.91399,1.03471,0.00147588,0.00147588,0.00147588
47,1574.62,1.10844,0.57731,0.84018,0.84164,0.72117,0.79626,0.35214,1.8079,0.92639,1.03758,0.00146424,0.00146424,0.00146424
48,1607.94,1.09122,0.57843,0.83618,0.8792,0.75539,0.82892,0.36078,1.83508,0.90119,1.04214,0.00145259,0.00145259,0.00145259
49,1640.89,1.0653,0.55978,0.83136,0.87996,0.72471,0.82635,0.35791,1.83192,0.88463,1.04341,0.00144094,0.00144094,0.00144094
50,1673.86,1.04793,0.55368,0.83388,0.8437,0.76172,0.82809,0.36291,1.80044,0.88488,1.04265,0.00142929,0.00142929,0.00142929
51,1706.81,1.0785,0.5738,0.83467,0.84692,0.7573,0.82383,0.35063,1.89948,0.91359,1.05712,0.00141765,0.00141765,0.00141765
52,1740.53,1.07454,0.57726,0.83493,0.84641,0.76135,0.82514,0.35263,1.8667,0.90532,1.05408,0.001406,0.001406,0.001406
53,1774.11,1.06016,0.55643,0.83497,0.84323,0.75665,0.8128,0.35342,1.83495,0.88251,1.04424,0.00139435,0.00139435,0.00139435
54,1810.07,1.10448,0.57143,0.83321,0.85756,0.74777,0.82638,0.36018,1.82775,0.91069,1.03565,0.00138271,0.00138271,0.00138271
55,1844.3,1.05744,0.56194,0.8253,0.84744,0.73217,0.8161,0.35067,1.84609,0.89448,1.0421,0.00137106,0.00137106,0.00137106
56,1877.21,1.0607,0.54995,0.82421,0.84173,0.77514,0.8187,0.35801,1.81169,0.88099,1.04034,0.00135941,0.00135941,0.00135941
57,1910.16,1.03415,0.54177,0.83047,0.85548,0.76525,0.82521,0.36086,1.80008,0.8893,1.03985,0.00134776,0.00134776,0.00134776
58,1943.11,1.02307,0.54599,0.83052,0.82827,0.77567,0.82577,0.36898,1.81946,0.88271,1.04742,0.00133612,0.00133612,0.00133612
59,1976.03,1.04081,0.54482,0.82889,0.84805,0.76553,0.82554,0.37178,1.80247,0.88545,1.04564,0.00132447,0.00132447,0.00132447
60,2009.03,1.0332,0.55031,0.82996,0.84785,0.7557,0.8261,0.36222,1.82872,0.92082,1.03346,0.00131282,0.00131282,0.00131282
